fips,year,pop_check1,state_abbrev,state_name
13,2015,7684073,GA,GEORGIA
13,2016,7797409,GA,GEORGIA
13,2017,7903220,GA,GEORGIA
13,2018,8009933,GA,GEORGIA
13,2019,8122621,GA,GEORGIA
13,2020,8210067,GA,GEORGIA
15,1969,478291,HI,HAWAII
15,1970,499704,HI,HAWAII
15,1971,520940,HI,HAWAII
15,1972,544290,HI,HAWAII
15,1973,566127,HI,HAWAII
15,1974,584268,HI,HAWAII
15,1975,603346,HI,HAWAII
15,1976,621646,HI,HAWAII
15,1977,637186,HI,HAWAII
15,1978,653042,HI,HAWAII
15,1979,673996,HI,HAWAII
15,1980,687505,HI,HAWAII
15,1981,702146,HI,HAWAII
15,1982,716757,HI,HAWAII
15,1983,733280,HI,HAWAII
15,1984,746209,HI,HAWAII
15,1985,755864,HI,HAWAII
15,1986,769656,HI,HAWAII
15,1987,786694,HI,HAWAII
15,1988,798277,HI,HAWAII
15,1989,812596,HI,HAWAII
15,1990,833352,HI,HAWAII
15,1991,848717,HI,HAWAII
15,1992,863322,HI,HAWAII
15,1993,871170,HI,HAWAII
15,1994,879782,HI,HAWAII
15,1995,886309,HI,HAWAII
15,1996,892273,HI,HAWAII
15,1997,901926,HI,HAWAII
15,1998,910388,HI,HAWAII
15,1999,910414,HI,HAWAII
15,2000,918167,HI,HAWAII
15,2001,931815,HI,HAWAII
15,2002,946013,HI,HAWAII
15,2003,956635,HI,HAWAII
15,2004,975466,HI,HAWAII
15,2005,994232,HI,HAWAII
15,2006,1010418,HI,HAWAII
15,2007,1015468,HI,HAWAII
15,2008,1031119,HI,HAWAII
15,2009,1043921,HI,HAWAII
15,2010,1060126,HI,HAWAII
15,2011,1073598,HI,HAWAII
15,2012,1087699,HI,HAWAII
15,2013,1099924,HI,HAWAII
15,2014,1107217,HI,HAWAII
15,2015,1114576,HI,HAWAII
15,2016,1121290,HI,HAWAII
15,2017,1120403,HI,HAWAII
15,2018,1120053,HI,HAWAII
15,2019,1116196,HI,HAWAII
15,2020,1111188,HI,HAWAII
16,1969,437383,ID,IDAHO
16,1970,453080,ID,IDAHO
16,1971,469295,ID,IDAHO
16,1972,488802,ID,IDAHO
16,1973,505366,ID,IDAHO
16,1974,526135,ID,IDAHO
16,1975,546050,ID,IDAHO
16,1976,566593,ID,IDAHO
16,1977,587722,ID,IDAHO
16,1978,609161,ID,IDAHO
16,1979,627195,ID,IDAHO
16,1980,640704,ID,IDAHO
16,1981,651449,ID,IDAHO
16,1982,660499,ID,IDAHO
16,1983,668067,ID,IDAHO
16,1984,675180,ID,IDAHO
16,1985,678759,ID,IDAHO
16,1986,677561,ID,IDAHO
16,1987,676651,ID,IDAHO
16,1988,680025,ID,IDAHO
16,1989,688123,ID,IDAHO
16,1990,699011,ID,IDAHO
16,1991,724584,ID,IDAHO
16,1992,746713,ID,IDAHO
16,1993,774930,ID,IDAHO
16,1994,800898,ID,IDAHO
16,1995,828074,ID,IDAHO
16,1996,849259,ID,IDAHO
16,1997,870741,ID,IDAHO
16,1998,890141,ID,IDAHO
16,1999,908985,ID,IDAHO
16,2000,929000,ID,IDAHO
16,2001,946817,ID,IDAHO
16,2002,964386,ID,IDAHO
16,2003,984139,ID,IDAHO
16,2004,1007110,ID,IDAHO
