state,fips,state_abb,year,violentcrimerate_ce,propcrimerate_ce,pctblack,pcthisp,medinc,age,dieseltax,gastax,state_abbrev,fatal,fatal_occupant,fatal_non_occupant,vmt_rural,vmt_urban,vmt_total,rate_occupant,rate_non_occupant,speed65,speed70,mlda21,bac8,secondary,primary,rearsecondary,mv_registrations,rural_miles,urban_miles,rate,secondary_primary,unemprate,automobiles,buses,trucks,total,motorcycle,urban_den,rural_den,adj_primary,adj_secondary_primary,ln_pctblack,ln_pcthisp,ln_medinc,ln_age,ln_gastax,ln_violentcrimerate,ln_propcrimerate,ln_unemprate,ln_ruralvmt,ln_urbanvmt,ln_ruralden,ln_urbanden,adj_occrate,adj_nonoccrate,ln_adjocrat,ln_adjnonocrat
tennessee,47,TN,1983,2.175,36.096001,15.32255,.6853177,10313,34.054279,12,9,TN,1037,924,113,18859,17402,36261,25.481922,3.1162958,0,0,0,0,0,0,0,3537012,71851,11938,,0,11.65,2777033,11228,748751,3537012,79965,232.62129,38.649887,0,0,2.7293255,-.37787277,9.2411604,3.5279558,2.1972246,.77702862,3.5861821,2.4553063,9.8447456,9.7643404,3.6545439,5.4494119,.025481923,.0031162959,-3.669786,-5.7711101
texas,48,TX,1983,2.438,53.950001,11.836575,21.90378,12575,31.767897,6.5,5,TX,3823,3174,649,50113,81770,131883,24.066786,4.9210286,0,0,0,0,0,0,0,11695478,212914,62870,,0,8.058333333333332,8159008,51214,3482625,11692847,326293,129.77585,38.320675,0,0,2.4711943,3.0866592,9.4394655,3.4584563,1.6094379,.89117801,3.9880576,2.0867066,10.822036,11.311666,3.6459897,4.8658085,.024066785,.0049210284,-3.7269225,-5.3142376
utah,49,UT,1983,.92699999,48.619999,.61945564,4.2628188,10116,27.966721,11,11,UT,283,223,60,4339,6882,11221,19.873451,5.3471169,0,0,1,1,0,0,0,1074284,40998,5080,,0,9.016666666666666,735930,1139,337215,1074284,67427,144.8681,17.950388,0,0,-.4789142,1.4499307,9.2218733,3.3310153,2.3978953,-.07580173,3.8840349,2.1990747,8.3753996,8.8366642,2.8876116,4.9758239,.019873451,.0053471169,-3.9183705,-5.2311978
vermont,50,VT,1983,.72199994,40.001999,.25547862,.62432206,11289,33.5341,14,13,VT,94,82,12,3171,980,4151,19.754276,2.8908696,0,0,0,0,0,0,0,367355,13092,902,,0,6.541666666666665,282469,1308,83578,367355,22374,313.15854,21.575695,0,0,-1.3646165,-.47108892,9.331584,3.5125628,2.5649493,-.3257302,3.6889293,1.8781919,8.0618019,6.8875527,3.0715675,5.7467093,.019754276,.0028908695,-3.9243853,-5.8461981
virginia,51,VA,1983,1.4219999,36.689999,18.542109,1.7877712,13341,33.31242,11,11,VA,901,751,150,21592,20707,42299,17.754557,3.5461831,0,0,0,0,0,0,0,3894060,52507,12595,,0,6.350000000000001,3256494,13165,624401,3894060,81309,258.5545,62.020187,0,0,2.9200442,.58096969,9.4985971,3.5059302,2.3978953,.35206428,3.6025043,1.8484548,9.9800777,9.9382267,4.12746,5.5551066,.017754557,.003546183,-4.0311131,-5.6418834
washington,53,WA,1983,1.55,57.060001,2.6794505,3.1741683,13553,33.485718,16,16,WA,698,597,101,16098,20046,36144,16.517263,2.794378,0,0,1,0,0,0,0,3338333,70978,14753,,0,11.2,2360117,10072,968144,3338333,139508,159.97539,33.251389,0,0,.98561174,1.1550456,9.5143633,3.5111191,2.7725887,.43825489,4.0441031,2.4159138,9.68645,9.9057846,3.5040965,5.0750198,.016517263,.002794378,-4.1033492,-5.8801455
west virginia,54,WV,1983,.625,22.472,3.2392633,.58817816,9537,34.638615,15.35,15.35,WV,425,380,45,8435,3261,11696,32.489738,3.8474693,0,0,0,0,0,0,0,1295165,31720,2953,,0,17.23333333333333,817538,3424,354444,1175406,32079,276.84998,25.773581,0,0,1.1753459,-.53072536,9.1629343,3.5449691,2.7311156,-.47000363,3.1122701,2.8468454,9.0401449,8.0897894,3.2493501,5.6234756,.032489739,.0038474693,-3.426831,-5.5603395
wisconsin,55,WI,1983,.92800003,40.647999,4.0788403,1.4519631,12114,34.015766,15,15,WI,725,616,109,18585,15521,34106,18.061338,3.1959186,0,0,0,0,0,0,0,3214162,94411,13814,,0,9.766666666666667,2547140,12955,654067,3214162,540506,184.38831,26.979271,0,0,1.4058127,.37291649,9.4021168,3.5268242,2.7080503,-.074723512,3.7049496,2.2789752,9.8301105,9.6499491,3.2950687,5.2170439,.018061338,.0031959186,-4.0139818,-5.7458806
wyoming,56,WY,1983,.56999999,37.766998,.69738156,5.2309895,12870,30.565798,0,8,WY,173,154,19,3811,1248,5059,30.440798,3.7556829,0,0,0,0,0,0,0,502268,36618,1552,,0,7.958333333333332,290428,2317,209523,502268,22758,187.13144,7.9312906,0,0,-.36042258,1.6546005,9.4626541,3.4198816,2.0794415,-.56211895,3.6314356,2.0742197,8.2456465,7.1292977,2.0708158,5.231811,.030440798,.0037556828,-3.4919715,-5.5844851
alabama,1,AL,1984,1.3060001,34.709,24.829903,.71543807,10848,33.850426,14,13,AL,932,820,112,16509,15745,32254,25.423203,3.4724376,0,0,0,0,0,0,0,3202055,73231,14329,,0,11.28333333333333,2266571,8375,927109,3202055,69637,158.18068,30.950977,0,0,3.2120488,-.33486024,9.2917356,3.5219517,2.5649493,.26696911,3.546999,2.4233267,9.7116613,9.664278,3.4324045,5.0637379,.025423203,.0034724376,-3.6720929,-5.6628985
alaska,2,AK,1984,2.1260002,54.936001,3.7650266,2.6037085,19701,27.783955,8,8,AK,134,108,26,2081,1785,3866,27.93585,6.7252975,0,0,0,0,0,0,0,367608,9930,1621,,0,9.891666666666667,227375,1794,138439,367608,9925,140.26836,22.897785,0,0,1.3257549,.95693678,9.8884249,3.3244586,2.0794415,.75424236,4.0061688,2.2916927,7.640604,7.4871736,3.1310401,4.9435573,.02793585,.0067252973,-3.5778444,-5.0018792
